stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,1.11,0,0.74,0,0,0,0,0,0,0
3Month,0.52,0.1,10.71,0.62,1.35,0.31,0.21,8.95,0.21,0.1,0.1,0.42,0.1,0.1,0.62
22Month,0,0,3.28,0,0,0.82,0,1.64,0,0,0,0,0,0,0.14
