stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
24hpf,3,1,1,1,2,2,1,6
21Day,0,0,0,0,0,0,0,0.74
