stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0.56,0,0,0.28,0,0,0
21Day,0,0,1.85,0.37,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0.74,0.37,0,0,0,0,0
3Month,0,0.1,0.42,0,0.1,0.1,1.87,0.42,0,0.52,0.1,0.42,0.1,0.1,0.1,0,0.31,2.91,0,0.1,0.21,0
22Month,0,0,0.14,0,0,0,0.68,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14
