stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,1.13,0.28,0.85,0,0,0,0,0.28,0,0
21Day,5.55,0,0,0,0.37,0,0,0,0,0,0.37,0,5.55,0,0,0.37,0,0,0,0.74,0,0,0.37,0.74,0,0,0
3Month,0.1,0.21,0.1,0.31,0,0,0.21,10.4,0.42,0,0.42,0.21,8.32,2.7,0,0.52,0.21,0.1,0,0.42,0.21,0.1,0.1,0,0.1,0.42,0.1
22Month,0,0.14,0,0.27,0,0.14,0.14,6.97,0,0.14,0,0,3.83,0.27,0.27,0.14,0,0,0,0.14,0,0,0,0,0,0.14,0
