stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,10.15,0.28,0,0,0,0,0,0,3.66,0,0.28,0,0,0,0,3.95,0.28,0,0,0,0,0.56,0,0
21Day,0.37,0,1.85,14.06,0.37,0,0,0,0,0,0,2.96,0,1.48,0,0.37,0.37,0,3.33,1.48,0,1.11,0,0,0,0,0
3Month,0.1,0,1.14,0.62,0,0.31,0.1,0,0.83,0.1,0,0.62,0.1,0.31,0,0,0.42,0.21,0.1,0,0.21,0,1.14,0,0,0.42,0.1
22Month,0,0,0.55,0,0,0.27,0.14,0.27,1.78,0,0.96,0,0.14,0.14,0.14,0.14,0,0.14,0,0,0.14,0,1.09,0.14,0,0,0.27
