stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,132,0,0,0,0,0,0
72hpf,3.38,0.28,0,1.69,1.69,0,0,0,0,0,0,0.56,4.79,0.28,3.1,0.28,0.56,0,150.79,42,3.38,0,9.3,0,0,0
21Day,1.85,0.37,0,4.44,1.85,0.37,0,0,0,0.37,0,0.74,1.11,0,5.18,0,1.85,0,19.98,11.47,0.74,1.48,1.85,0.37,0.74,0
3Month,0.21,0,0.21,0.94,0,0,0.21,0,0,0,0.42,0,0.42,0,0.1,0,0,0.21,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
