stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
21Day,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0
3Month,0.62,0.21,0.1,0.62,0.42,0,0.31,0.21,0.42,0.31,0.1,0.1,0.31,0.1,0.1,0.52,23.82,0,10.09,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0.96,0,0,0
