stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.28,0.56,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,12.95,0,0,0,0,0,0,0,0,0,0.37,1.85,8.51,0.37,0,0,0,0.37,0,1.11,0.37,0.37,0,0,0.74,0,0,0,0,0,0
3Month,0.21,1.46,57.21,0.1,0.62,0,7.91,0.52,0,14.56,0.52,0.1,26.21,4.47,13.83,1.66,0.83,0.73,0.1,3.54,1.77,1.25,0.1,3.12,0.1,0,0,1.04,6.76,0.1,0.94,1.56,1.04
22Month,0.14,1.09,6.83,0,0,0,0.82,0.27,0.55,6.97,0,0,2.46,0.27,0.68,0.14,0.27,0.14,0.68,2.6,0,0.14,0,0.41,0,0.14,0,0,0,0,0,0,0
