stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,8,3,0,0,0,0,1,0,0,0,0,0,4,11,44,0,1,0,11,302,0,0,0,5,0,0,1,0,2,0,0,0
72hpf,3.95,0.85,0,3.1,0.56,0.56,0,0,0,0,0.28,0,0,0,1.97,5.64,0,12.12,0,0.85,0.28,58.91,48.76,0,0,0,8.46,0,0,3.38,0,1.13,0,0,0.28
21Day,3.33,0.37,0,2.96,0.37,0.74,0.74,0,0,0,0.37,0.37,1.11,0,0,0.74,0,11.1,0,0,0.74,9.62,9.62,0,0.37,0,4.81,0.37,0.37,1.11,0.37,0,0,0,0
3Month,0,0.1,0.1,3.22,0,0,0,0.1,0.21,0,2.6,0,0.21,0.42,0.42,1.14,0.52,1.14,0.31,0,0.21,0.1,0.31,0.1,0,0,0,0.1,5.93,0,0,0,0.42,1.04,0.21
22Month,0,1.23,0.27,3.28,0.14,0,0,0.27,0.82,0,15.85,0.68,1.37,1.91,0,0.55,1.91,7.65,0.55,0.68,0.27,0.27,0.27,0.68,0.68,0.14,0.27,0,1.5,0.41,0.14,0,0.27,0.14,0.14
