stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,4.51,0.28,0,0,0.28,0.85,0.28
21Day,0.37,0.37,0.37,0,0,0,0,0,0.37,0,0,0.74,2.96,0,0.37,0,0.37,4.07,0
3Month,0.42,0,0,0.1,0,0.1,0.1,0.31,0,0.21,0.1,0,0,0,1.25,0,0,0,0
22Month,0.27,0,0,0,0.14,0.82,0,0,0,0,0,0,0,0,0.41,0.14,0,0,0
