stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.1,7.7,0,0.42,0.21,0,1.77,0.42,0.1,0.31,0.52,2.7,0.1,0.21,0.1,0.1,0.1,0,3.74,1.04,0.1
22Month,0,0,0.41,0.14,0,0.14,0.14,2.73,0.14,0,0,0,0,0,0,0,0,0,0.14,0.27,0,0
