stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
72hpf,12.97,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0.28,0,0,1.13,0,0,0,0,0,0
21Day,36.26,0,0.74,1.85,0.37,0,0,0,0,0.37,0,0.37,1.48,0,0.37,0.37,0.74,0,0,0.37,0,0.74,0,0.37,0.37,0.74,0.37,0,0,0,0,0.37
3Month,1.66,0.21,3.64,2.7,0,0.62,0.83,0.52,0,23.51,0.73,0.1,49.51,0.31,0.62,0.52,2.6,0.42,0.1,0.52,0.1,0.1,0,1.98,0.1,0,0.62,1.46,0,0.1,0.42,0.42
22Month,0.27,0.41,3.69,3.14,0,0,1.64,0.82,0.41,22.14,0.41,0.14,74.06,0,0.14,1.64,3.28,0.14,0.41,0.27,0.14,0,0.14,2.19,0.14,0,0,1.78,0.41,0.14,0,0.14
