stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0.85,0,0,0,0,0,0,0,0,0,1.41,9.3,0,0,0.28,0,0.56,1.13,0.56,0,0,0,0.85,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0.37,5.18,0,2.22,0,0.37,0,1.11,0,2.59,0.37,0,2.22,0.37,0,0.74,3.33,0,0.37,0,1.11,1.11,0,0,0,1.48,0.74,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.31,0.62,6.97,0.1,0,0.1,0.31,1.04,1.25,0,87.17,0.83,0.1,12.27,0.83,2.5,0.62,1.46,0.21,0.73,3.95,0.42,0,0.62,0.31,0,0.31,1.46,0.94,0.1,0,0,0.1,0.31,0.73
22Month,0.27,0.68,0.82,2.05,0,0,0,0,0.82,1.37,0.41,106.45,0.55,0.14,11.21,0.55,0.14,0.27,0.41,1.5,0.68,0.27,0.14,0,0.27,0,0.14,0.27,0,0.27,0,0.14,0,0.14,0,0.27
