stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,3,37,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.41,1.97,0,0,2.54,0.56,0,0,0,0,0,0,0,0,0,0,0.85,1.13,11.27,0,0,0,0,10.15,6.48,0.28,0,20.29,0,0,1.69,5.36,6.76,1.13,0,0,0
21Day,1.11,4.44,0,0.37,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0.37,1.48,0.37,12.21,0,0,0,0,10.73,1.85,0.37,0,2.59,0,1.48,0,9.99,15.91,0.74,0,0,0.37
3Month,1.46,20.18,0.1,2.08,0.83,0,0.21,0.1,0.21,1.35,0.1,0,2.91,0.94,0.52,0.52,0.83,0.62,10.92,2.29,0,0.94,0.62,1.87,0.1,2.7,0.21,12.79,0.31,28.81,1.87,0.73,0.1,1.14,0.1,1.14,0.62
22Month,1.5,33.75,0.14,3.01,1.09,0,0.14,0,0.14,1.78,0.55,0,11.75,0.68,1.09,0.14,0.27,1.64,11.75,0.68,0.27,1.09,0,0.68,0.27,3.96,0.55,11.34,0.27,16.4,9.7,12.71,0.14,0,0.27,0,0.96
