stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,2.25,0,0.56,0,0.28,0,0.28,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.1,0.1,54.3,0,0.21,17.37,0.73,0,3.64,1.77,2.81,0.52,0.83,0.31,1.04,0.52,0,0.62,0.1,0,1.14,0.31,0,0,0.42,0.73,0.31,0.62,0.83
22Month,0,0.41,0.41,9.02,0.14,0,1.23,1.09,0.68,11.89,0.14,3.14,0.14,0.14,1.09,1.5,0,0.27,0.14,0.14,0,0.41,0.68,25.83,0,0.14,0.68,0,0,0.55
