stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage
24hpf,0,0,0,0,0,1,1
21Day,0,1.11,0,0,0,0,0
3Month,0.94,2.7,0.1,0.21,0.1,1.04,0
