stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,1.13,0,1.41,0,0,14.66,6.48,0,0.28,0,0.28,0,0,0,3.95,0,0,0,0,0
21Day,1.11,0,0.74,4.81,1.11,2.22,0,0,0,0,0.37,0,0,11.84,0,0.74,3.33,0.74,2.22,0.37,1.85,0,0,0.37,0.37,9.99,2.96,0,0,0,0,3.7,0,0,1.11,0,0,0,0,0.37
3Month,1.25,3.74,9.99,43.06,0.31,0,3.95,0.21,0.1,6.14,10.92,0.1,0,1773.18,16.02,0.62,97.67,8.43,12.07,9.78,19.76,3.95,3.74,7.49,16.12,2.6,0.21,3.22,4.06,0,0.83,36.72,0.21,13.42,1.56,0,0.42,4.58,118.58,9.47
22Month,0.96,3.83,3.42,9.7,0,0,5.19,0.27,0,1.91,8.61,4.24,0,1602.08,3.69,1.37,54.39,0.68,1.64,6.97,10.52,0.41,63.41,4.24,0.82,0.96,0.14,1.09,3.42,2.05,0.14,4.24,0,2.6,1.78,1.09,0.27,0.82,0.14,3.28
