stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,17.76,3.1,0,0,0.28,0,0,1.13,0,0,0,0
21Day,0.37,0.37,0,1.11,0,0.37,0,0.37,0,0,0,0,0,0,0.74,0,2.22,0,0,0,9.25,1.11,0,0,1.48,0,0,0.37,0,0,0,0
3Month,0,0,0.1,1.46,0,0,0,0,0.1,0,5.2,0,0.21,0.31,0.42,0.31,1.56,0.31,0,0.1,0.21,0.1,0.31,0,0.1,0.52,4.37,0,0.1,0.1,3.12,0.52
22Month,0,0.27,0,0.68,0,0,0.27,0,0.14,0.14,10.66,0.55,0.41,0.27,0,0.41,1.09,0.14,0.41,0.14,0.14,0,0.27,0.14,0,0,0.55,0,0,0,0,0.27
