stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,8.46,0.28,0,0.28,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0.37,0,0,0,0,4.81,0.74,0,0,0.37,0.37,0,0
3Month,0,0,0.31,0.21,0,0.21,0,0.1,0.1,0.1,0.1,0.1,0,0.21,0,0,0,0,0.42,0.1,0.1
22Month,0.14,0.14,0.14,0.55,0.14,0.82,0.14,0,0,0,0.27,0.14,0,0.27,0.14,0.27,0,0,0.96,0,0
