stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,1.69,0,5.36,0.85,5.64,0.28,0,0,0,0,0.56,0,3.1,12.97,0.85,15.5,0,0.28,0.56,0.28,79.76,39.18,0,0.28,16.91,0,7.05,0.56,0.28,1.13,0,0,0
21Day,8.88,0.74,1.48,13.32,0.37,9.99,0.74,1.11,0,4.07,0,4.81,2.59,1.85,10.36,1.48,32.93,0,0,4.07,0,22.57,24.05,0.74,0.74,7.4,3.7,2.96,0.37,3.7,1.11,0,0,0.74
3Month,0,0,0,0.52,0,0,0,0.1,0.1,0,0,0,0.1,0,0.42,0,1.56,0.42,0,0,0,0,0.21,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0
22Month,0,0,0,0.27,0,0,0,0,0,2.05,0.14,0.14,0.14,0,0.14,0,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0
