stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.21,0.1,0.1,0,0.62,0.1,0.1,0.1,0.21,0.1,0.1,0.1,0.21,0,0,0,0.1,0.1
22Month,0.14,0,0,0,0.27,2.46,0.14,0,0,0.14,0.55,0,0,0,0,0,0.27,0,0
