stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,3,1,0,0,0,0,0,3,0,2,0,0,0,0
72hpf,1.13,0.56,0,0,0,0.28,0.28,0.28,0.28,0.28,0.56,0,0.56,0
21Day,1.48,1.11,0.37,0,0,0,0,0.74,0.37,0,0.37,0.37,0,0.37
3Month,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0
