stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,11,0,2,0,0,0,0,0,1,4,3,5,0,0,0,1,36,0,0,0,0,0
72hpf,1.13,1.13,0,0.85,0,0,0,0,0,0,2.54,0,1.41,0,0.28,0,1.13,1.13,0,0,0,0,0
21Day,7.77,2.59,0.37,6.66,2.22,0,0,0,0,0.74,4.44,0,2.59,0,0,0,0.74,1.11,0.74,1.11,0,0.37,0
3Month,0,1.14,0,0,0.31,0.21,0,0.21,0.42,0.1,1.25,0.21,0.52,0.1,0,0.1,0,0,0,0,2.81,0,0.1
22Month,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
