stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,0,1.13
21Day,0,0,0,0,0.37,0
3Month,0.1,0.1,0.1,0.21,0,1.14
