stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0.56,0,0.56,43.12,1.69,0.28,0.28,0,0.85,0.28,0
21Day,0.37,0,0.37,0,0,0,0,0.37,1.48,14.06,1.11,0,0.37,0,0,0,0.37
3Month,0,0,0.21,0,0,0.21,0,0,0.1,0.52,0,0,0,0,0,0,0
22Month,0,0.14,0,0.14,1.23,0,0,0,0.14,0,0,0,0,0.14,0,0,0
