stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,3,0,0,0,0,0
72hpf,4.79,0.28,1.97,39.46,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0.85,0.28,0,0,0,0.28,0
21Day,2.59,0,0.74,29.97,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,1.11
3Month,0.31,0,1.14,0,0.73,0,0.1,0.1,4.16,0.1,0,0.1,0.1,0.42,0.31,0.1,0.21,0,0.1,0,0,0.1,0.1,0.73,0,0
22Month,0,0,0.27,0,0,0,0.14,0,8.88,0,0.14,0.41,0.14,0,0.14,0.41,0,0.27,0,0,0,0,0,0.14,0,0
