stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,3.33,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0.74,0,0,0,0,1.11,0,1.48,0,0,0
3Month,0.21,0.31,0.21,3.22,0.1,0.1,3.12,3.74,1.25,0.1,2.08,0.52,1.87,1.77,0.31,0.21,0.21,0.21,0.1,0,0.42,0.1,0,0,0.73,43.58,0.83,31.93,0.83
22Month,0,0.27,0,0.82,0.14,0.14,1.23,6.7,0.14,0.14,1.23,0.14,0,0.41,0.55,0,0,0,0.14,0,0,0,3.96,0,0.14,6.97,0.14,0.14,0
