stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,1.13,0.56,0.56,0,0.28,0.85,0,0,0,0,0
21Day,2.96,0,0.37,0,0,2.59,1.11,0,0,0.74,2.22,0,0,0,0,0
3Month,0.83,0,0,0.21,0.21,1.77,0.42,0,0,1.14,0.1,0.52,0.1,0.31,0.52,0.21
