stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,33,0,0,0,0,0,1,0,2,0,0,0,0,5,0,18,2,0,1,0,0,6,78,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.56,0,9.58,0.85,2.54,0,0.28,0,2.54,0,0,0,0,0,0,1.13,5.64,0,5.64,0,0,0,0,38.33,80.61,2.82,0.28,0,4.51,0.28,0,0.28,27.9,0.28,0.28,0,0,0
21Day,1.48,0,0,15.54,0,1.48,0,0,0,1.48,0,0,0.37,2.22,1.48,0.37,0.74,0,0.37,9.25,0,0,0.74,0,17.02,17.39,5.18,0.74,0,1.85,1.85,0,0.74,1.48,0,0,0,0,0
3Month,0,0.31,0.42,6.45,0,0,0.1,0.21,2.08,20.91,0,0,3.85,145,0.42,2.18,0.52,7.59,1.98,2.39,3.02,0,0.62,0.21,1.25,0,8.11,0.31,0,0,0.42,0.21,8.74,0,0,0,0.52,5.82,0.73
22Month,0,0.41,0.27,3.28,0,0,0.41,0,0.68,22.14,0.14,0,6.15,38.95,0.27,0.41,0.14,0.55,1.5,9.7,0,0.14,0.41,0.14,0.27,0,8.88,0,1.78,0.14,0,0,5.47,0.68,0,0,0.14,0,0.41
