stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,1.11,0,0,0,0,0,0.74,0,0,0
3Month,2.29,0.31,0.31,0.83,0.21,0.1,3.12,0.1,0,0.1
22Month,0.27,0.14,0,0,0.27,0,0.41,0,0.14,0.14
