stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,10.73,0,0,0,0,0,0,0,0,0.74,0,1.11,5.18,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74
3Month,0.1,0.52,0.21,17.27,0,0.1,0.31,1.77,0.42,0,1.66,1.56,0.62,0.83,1.46,4.06,1.14,1.98,0.42,0,1.04,0.52,0.31,0.21,0.21,0.21,0.1,0,0.31,0.21,0.1,2.08
22Month,0,2.05,0.14,7.52,0.14,0,0.27,1.23,4.1,6.01,5.06,0.82,0.96,1.91,0.27,1.09,3.28,1.5,0,0.41,0.55,0,0.55,0.14,0.96,0,0,0,0.14,0.27,0,0.55
