stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0,1.41,0,0.56,0,0,0,0,2.82,1.13,0,0,0.28,0,0,0.56,0.28,0,0,0
21Day,1.48,0.37,0,1.85,0.74,3.7,1.11,0,0.37,0,0,0.37,0.37,0.37,0.37,0.37,1.11,0.37,3.7,0,0,0.37,0,2.96,2.22,0.37,0,1.11,0,0,0.37,0,0,0,0.37
3Month,0,0.1,0.1,2.08,0,0,0.21,0.1,0.42,0.52,0,4.68,0.52,0.1,1.04,0.21,1.25,1.14,0.52,0.31,0,0.21,0.1,0.52,0,0.1,0.1,0,0.21,2.39,0,0,0.21,6.24,0.73
22Month,0,0,0,0.55,0,0,0,0,0,0.68,0.27,4.37,0.27,0.41,0.14,0.14,0,1.5,0.41,0,0.14,0.14,0.14,0,0,0,0,0,0,0.82,0,0,0,0,0.41
