stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Smooth_muscle_cell
24hpf,0,0,1,0,0,0,0,0,7,0,0,0
72hpf,0.28,0.85,0,0.56,0,0.28,0,0.28,1.69,0.28,0.56,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0.31,0,0.31,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0
