stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.85,1.97,0.56,0.28,0,0,0,0.28,0,0,0,0.28,0,0,1.13,0,2.25,0,0,0,0,130.21,3.66,0.28,0.56,0,1.97,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0,1.48,0.37,0,0,0,0,0,0,0.74,0,0,2.22,0.74,5.92,0,0,0,0,56.61,2.22,0,0.74,0,0.74,1.85,0.37,1.11,0.37,1.48,0.37,0,0,0.37
3Month,0,0.31,2.08,0.73,0,0.21,0.21,0.21,0.52,0,2.91,0.42,0,0.73,0.21,0.94,0.42,8.11,0.73,0,0.1,0.42,21.12,0.1,0.31,0.42,0,0.1,0,9.99,0.1,0,0,0,1.87,2.39,0.83
22Month,0,0.41,1.23,0.14,0,0,0,0,0.55,12.44,7.38,0,0.27,0.14,0.14,0.55,0.96,1.09,0.14,0.14,0,0,7.52,0,0.14,0.55,0.27,0,0,9.43,0.27,0,0,0,0,0,0
