stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0.1,0.52,0.52,0,4.68,0.1,0.1,0.31,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0
22Month,0,0.82,0.27,0,3.42,0,0,0,0,0,0.14,0.55,0.27,0,0,0,0,0,0.14,0.14
