stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0.85,0,1.13,0,0,6.48,5.36,0,0,0.56,0,0,0,0,0
21Day,0.37,0.37,0,1.48,1.11,0,0.37,0,0,0,0,0.37,0.74,0,0,1.48,0,0.37,0.37,0,1.48,1.48,0,0.37,1.11,0,0.37,0,0,0.74
3Month,0,0.1,0.21,1.77,0,0.21,0,0.62,0.31,0,2.81,0,0.1,0.83,0.31,1.25,0.52,0.42,0,0.1,0,0.1,0,0.21,0.1,0.94,0,0.21,0.21,0.31
22Month,0,0,0,0.41,0,0,0,0.14,0,0.27,3.42,0,0.14,0.27,0,0.14,0.27,0.27,0,0,0,0,0.14,0,0,0.27,0.14,0,0,0
