stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,0,0.83,0,0,0.31,0.31,0.42,0,0,0.21,0.21,0.21,0,0,0,0.21,0.21,0.21,0.1
22Month,0.14,0.14,0.41,0.14,0.14,0,5.19,0,0.14,0.55,0,0,0,0.14,0.14,0.27,0.82,0,0,0.27
