stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.85,0.28,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0,0.37,3.7,0.37,2.59,0,0,0,0,0,0,0,9.99,0,0,0.74,2.59,2.59,0,0,0.74,0,2.59,0.74,0.37,0,1.11,0,0,0.37,0,0,25.16
3Month,0.1,0.31,0.21,3.22,0.1,0,0.52,0.1,0.42,2.08,0,2.29,3.43,0.42,1.14,0.31,0.62,2.5,4.26,1.66,0.1,0.1,0.1,0.42,0,0.1,0,0,0.31,3.43,0,0.21,0.94,50.45
22Month,0,0.27,0,0.41,0,0,0.14,0,0,0.68,0.27,1.91,0.55,0.27,0.41,0.14,0.14,3.01,0.27,0,0,0.14,0,0,0,0.14,0.14,0.14,0,1.37,0.27,0,0,14.48
