stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.42,0.1,1.04,0.21,0.1,0.1,0.31,0,0,0.1,0,0,0,0,0.1,0.1
22Month,0,0.55,5.6,0.27,0.27,0,0,0.55,0.27,0,0.41,0.14,0,0.14,0.14,0
