stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0.28,1.69,0.28,0,0,0.85,1.41,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0.74,0.74,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,1.11,0,0,0,0,0,0
3Month,0.1,0.1,0.94,0,0.1,0.21,0.1,1.14,0,1.77,0.94,0.62,0.21,0.42,1.77,0.21,0.1,0.1,0,0.1,0,0,0.42,0.1,0.1,0.1,0.94
22Month,0,0.14,0,0,0.14,0,0.14,1.91,0.14,4.78,0.27,0,0,0,1.23,0.14,0,0,0,0,0,0,0,0,0,0,0.14
