stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,1.13,0,0.85,0,0.85,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,1.11,0,1.85,0,0,0,0,0.37,0.74,0,0,0.37,2.96,0.37,0,0,0.37,0.37,0.37,0.37,0,0.37,0.37,0,0,0.37,0.37
3Month,0.1,0,1.56,0,0.1,0.1,0.1,1.04,0,13.11,0.42,0,1.25,0.1,0.1,1.46,0.31,0.1,0.1,0.94,0,0,0.1,0.1,0,0.62,0.21,0,0,0.42
22Month,0,0.14,0.14,0,0.14,0,0,1.64,0.14,12.98,0.14,0.41,0.68,0,0,2.05,0,0.68,0.14,0,0,0,0,0,0,0,0,0.14,0,0.41
