stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0,1.41,0,0,0.28,0.56,0,0,0,0,0,0
21Day,0,0,2.59,0.37,0,0,0,0,0.74,0,0,3.33,1.48,1.48,0.74,0.37,0,1.11,0,0,0,0.74
3Month,0.1,0.21,1.35,0,0.21,0.42,1.98,0.52,0,0.62,0.21,0.21,0.52,0.1,0.1,0,0.1,0,0.21,0.1,0.21,0.52
22Month,0.27,0.14,0.82,0,0.14,0.41,2.46,0.27,0,1.91,0,0,0.55,0.27,0,0,0.14,0,0,0.14,0,0.27
