stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,27,13,50,1,55,5,0,5,0,0,2,1,30,23,68,1,0,0,23,539,2,0,5,0,0,0,0,0,5
72hpf,27.06,5.92,40.87,2.25,1416,2.54,0.85,0,0.56,1.69,0,10.43,73.84,9.02,59.75,1.97,1.41,0.56,304.68,152.76,1.41,2.54,60.03,0.85,0,20.57,1.13,1.97,4.23
21Day,0,0,0,0,4.44,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0
