stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0.1,0.42,0.1,0.62,0.1,0.1,0.1,0,0.1,0.21,0,0,1.56,0.1,6.24,0.21
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1.5,0,0,0
