stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0.28,11.84,1.69,0.28,0.28,0,0.28,0
21Day,0,0,1.11,0,0.37,0,0,0,6.66,0.37,0,0,0,0,0
3Month,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.52,0,0.31
22Month,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0
