stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,3.1,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0.74,1.11,0.37,0,0
3Month,0,0.1,0,0,0.1,0.31,0.31,0,0.1,0,0,0.1,0.21
22Month,0.14,0,0,0.14,0.14,2.19,0,0.27,0.27,0,0,0,0
