stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.37,1.11,0,1.11,0,0.37,0,0,0,0.74,17.39,0,0,0.74,2.22,1.11,0,0,0,0,1.85,0.74,0,0.37,0,0.74,0.37,0,0,0,0,0,0,5.92
3Month,0,0.42,0.1,1.56,0,0.31,0,0.42,1.87,0.1,0,2.81,53.98,1.14,1.66,0.1,0.52,6.66,0.62,0.1,0,0.31,0.1,0,0,0.1,0,0,0.1,0.42,0.73,5.93,0,0,0.21,1.35,21.64
22Month,0.14,0.82,0.27,1.91,0,0.27,0.82,0,6.83,0.27,0,16.53,15.99,3.14,1.91,0.14,0.14,77.21,2.19,0,0.55,0.55,0,0,0,0,0.41,0.27,0,0.68,0,1.5,0.14,0.68,0.14,0,21.73
