stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,0,0,0,0,0.37,0,2.22,0,0,0,0,1.11,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37,0,0,18.13
3Month,0.83,0,0,0.1,0,0.21,0,1.46,0.31,0.52,0.42,0.1,0,0.52,0.31,0.1,0,0,0,0,0.1,0,0.1,0.31,0,0,0,0,1.04,15.19
22Month,0.82,0,0.27,0,0.14,0.41,0.27,68.46,0.27,0.27,0.55,0.14,0.14,0.82,0.55,0,1.91,0.14,0.14,0,0,0.14,0.27,0.41,0.27,0.14,0,0.27,0,8.47
