stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.85,0,0,0,0,0,1.69,0,0.85,93.86,1.97,0,0.85,0.85,0,1.13,0.28,0
21Day,0.37,0,1.11,1.48,0.37,0,0,0.37,0.37,0.37,0.37,0.74,57.72,0.74,0.74,1.11,0,1.48,0,0.74,0
3Month,0,0,0.31,0,0.1,0.62,0.31,0,0.21,0.21,0,0.21,0.21,0,0,0,0,0,0,0,0.1
22Month,0,0.14,0.14,0,0,0.41,0,0,0.14,0,0,0.27,0,0,0.14,0,0,0,0,0,0
