stage,Cardiomyocyte,Epithelial_cell,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,1,0,2,0,0,0,1,0
72hpf,0.28,0,0,0.28,0.28,0,13.25,0.85,0.28,0.28,0,0,0
21Day,0,0,0,0,0,0.37,7.4,0.37,0,0,0.37,0,0.37
3Month,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0
