stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0,1.97,0.28,0.56,0.85,0,0,0,6.2,0,0,0
21Day,0.37,0.37,0,1.11,1.11,0.37,0,0.37,1.85,5.92,0.74,0.74,1.48,0.37,0.37,19.61,0,0,0.37
3Month,0,0.1,0,0.1,0,0.62,0.31,0,1.35,0.21,0,0.1,0,4.16,0,0,0.62,0.42,0.1
22Month,0,0,0.14,0,0,0.96,0,0,0.14,0.27,0,0,0,1.91,0,0.14,0.27,0.14,0
