stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,3.1,0.56,0,0,0,0.28,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0.37,0,0,0,4.07,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0.1,0.42,1.87,0,0.1,0.21,1.14,0.52,0.1,1.04,15.19,0,0.94,0.73,0.21,0,0.1,9.36,0.1,0.1,0,0.1,0.31,0,0.21,0.1,0.21
22Month,0,0.14,0.41,0,0,0,0.96,0.14,0,0,6.7,0,0.14,0.41,0,0,0,0.27,0,0,0,0.27,0,0,0,0,0.14
