stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0.85,0.28,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,0
3Month,0,0,0,0,0,0,0.31,0.1,0.1,0,0,0,0,0,0,0.1
22Month,0,0.14,0.14,0.41,0,0.14,1.91,0.14,0,0.14,0.14,0.14,0,0,0,0.14
