stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,2,0,0,0,0,1,4,0,63,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,1.41,0,1.41,0,0,0.28
21Day,0,0.37,0,0,0.37,0,0,0.37,0,5.18,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0.14,0.14,0,0,0.14,0,0,0,0,0,0
