stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,5,25,0,0,2,0,0,0,0,1,0,0,0
72hpf,1.41,1.69,0,4.23,0,0.28,0,0,0,0,0,0,0,0,0.56,6.2,0.56,6.76,0,0.28,0.28,0,3.95,8.74,0,0,5.92,0,0,1.41,0,0,0,0,0
21Day,1.48,0.37,0.37,11.1,0,1.11,0.74,0,0,0,0,0,0.37,0.37,0.37,1.48,1.11,9.62,0,0,0.74,0,1.85,5.92,0.74,0,3.7,1.11,0,1.11,0.37,0,0,0,0.74
3Month,0,1.04,0.1,8.95,0.1,0,0,1.25,0.1,0,5.93,0.62,0.1,1.56,0.1,3.33,1.14,2.7,0.94,0,0.31,0.31,0,0,1.66,0,0,0.31,4.78,0,0,0.1,1.04,4.37,0.94
22Month,0,0.68,0,3.28,0,0,0,0.55,0.27,1.09,11.48,0.14,0.14,1.23,0,0.82,0.68,1.91,0,0,0.27,0.14,0.27,0.14,0.82,0.14,0.27,0,0.14,0.27,0,0.27,0,0,0.27
