stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell
24hpf,1,0,0,0,0
72hpf,5.92,0,0,0,0.28
21Day,5.92,0.37,0,0,0
3Month,0,0,0.21,0.1,0
