stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,15,0,13,0,0,0,0,0,0,2,0,0,0,0,1,2,11,44,0,0,0,0,16,56,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,2.25,6.48,0,3.95,7.05,0,0.56,0,0,0,0,0,0,0.28,0,2.25,9.3,0.28,13.53,0,0.28,0.85,0.28,29.88,20.29,0,0.28,0,9.58,0.85,1.13,2.54,0.28,0,0,0,0
21Day,1.85,4.07,0.37,7.4,37.74,0,1.85,0,0.37,0,0,0,0.37,2.59,0,0.37,2.22,1.11,11.47,0,0,0.74,0.37,12.21,7.77,0.37,1.11,0,5.55,0.37,2.59,0,0.74,0,0,0.37,2.22
3Month,0.42,4.78,0.73,32.35,0,0.62,0.73,2.39,17.16,0.31,0,23.4,8.74,2.29,13.52,2.08,14.35,15.5,12.69,3.85,0.31,1.87,1.04,1.14,0.52,2.29,0.62,0,0.31,1.04,69.48,0.31,0,0.21,1.66,6.24,15.08
22Month,0.14,15.44,2.05,12.03,0,0.82,1.78,2.19,13.94,8.2,0,62.45,2.6,2.87,15.71,0.55,3.28,12.85,11.75,0.41,3.69,1.91,0.41,0.82,0,1.5,0.68,52.06,0,0.27,17.9,1.09,0.27,0.14,0,0,7.79
