stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0,0.1,0.73,0.1,0.31,0.62,0.21,0.1,0.1,0.1,0.1,0.1,0.1,0.31,6.35,0.1
22Month,0.14,0,0,0,0,0.41,0,0,0,0,0,0.14,0,0,0,0
