stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.69,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,3.38,0,1.13,0,0,0,0.56,1.97,0,0,0.85,0,0,0.56,0,0,0
21Day,1.11,0,0,7.77,0,0,0,0,0,0.74,0,0,0,2.22,0.37,0.74,3.33,1.48,5.55,0,0,0.74,2.22,1.85,0,0,3.33,0.37,0,0,0.37,0,0.74
3Month,0,0.1,0,0.31,0,0,0,0,0,0.21,0,0.31,0.52,0,0.31,0,0.1,0.31,0,0,0,1.25,0,0,0,0,0,0.31,0.52,0,0,0.83,0.21
22Month,0,2.05,0.41,3.28,0,0,0.14,0.14,0.14,2.05,0.68,9.7,1.78,1.09,0.96,0.14,0.27,0.82,2.87,0.14,0.14,3.96,0,0.27,0.96,27.06,0,0,0.82,0,0,0,0.82
