stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0.37,0.37,1.11,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,4.47,0.1,0.1,0.1,0.1,0.62,3.85,0.31,0.21,1.35,0.62,1.14,0.42,0.1,0.21,0.21,0,0.21,0.31,0.73
22Month,0,0,0,0,0,0,0,0,0.55,0,0,0.55,0.14,0,0.14,0,0.14,0,0,0,0.14,0
