stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Pancreatic_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0.37,1.48
3Month,0,0,0.1,0,0,0.31,0,0.1,0.1,0,0.31
22Month,0.14,0.14,0,0.14,0.14,0.27,0.14,0.68,0,0,0.55
