stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,1.69,0,2.25,0,0,0,0.28,17.76,2.54,0,0,0,1.13,0,0,0,0,0,0
21Day,2.22,0,0,4.44,0,0.74,0,0.37,0,0,0,0.74,0,0.37,0.37,0.74,4.44,0.37,12.95,0,0,0.74,0,8.14,0.74,0,0,0,1.48,0.74,0,0,0.37,0,0
3Month,0,0.31,0.1,4.26,0,0,0.1,0.21,0.21,0.42,0,37.65,0.52,0,1.66,0.52,0.83,0.94,2.5,0.42,0.21,0.94,0.83,0.21,0.1,0.31,0.1,0,0,1.04,0.73,0,0,0.1,0.73
22Month,0.14,0.55,0.96,1.64,0,0,0.27,0.14,0.14,1.37,1.09,44.41,0.41,0.27,1.5,0.14,0.27,0.96,2.32,0.14,1.23,0.41,0,0.27,0,0.41,0.14,0.14,0.14,0.27,0.55,0.27,0.14,0,0.55
