stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4,2,6,2,1,0,0,0,1,0,3,12,64,0,0,12,337,0,8,0,0,0,0
72hpf,2.25,0.28,2.82,1.69,0.56,0.28,0,0,0,2.25,4.51,0.28,9.02,0.28,0.28,15.78,40.59,0,6.48,0.85,0,3.1,0
21Day,4.07,0.37,4.07,0.37,1.11,0.74,1.11,1.11,0.37,1.11,0.74,0,11.84,0,0.74,2.22,13.69,0,4.44,0,0,2.59,0.74
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0
22Month,0,0,0.27,0,0,0.14,0.55,0,0,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0,0
