stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,1.11,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0,0.31,0.21,1.14,0.1,0.31,0.31,2.39,0.62,0.1,1.04,0.1,0.52,0.73,0.52,0.21,0.21,0.1,0,0.1,0,0.1,12.27,0,0,0.1,84.67,0.42
22Month,0,0.14,0,0,0,0,0.14,1.64,0,0,0,0,0,0,0.27,0,0,0,0,0.14,0.82,0,9.29,0,0,0,0.14,0
